"Mark","Athlete","Date","Gender","Redesign"
62.32,"Eric Lemming (SWE)",1912-09-29,"Men","No"
66.1,"Jonni Myyrä (FIN)",1919-08-25,"Men","No"
66.62,"Gunnar Lindström (SWE)",1924-10-12,"Men","No"
69.88,"Eino Penttilä (FIN)",1927-10-08,"Men","No"
71.01,"Erik Lundqvist (SWE)",1928-08-15,"Men","No"
71.57,"Matti Järvinen (FIN)",1930-08-08,"Men","No"
71.7,"Matti Järvinen (FIN)",1930-08-17,"Men","No"
71.88,"Matti Järvinen (FIN)",1930-08-31,"Men","No"
72.93,"Matti Järvinen (FIN)",1930-09-14,"Men","No"
74.02,"Matti Järvinen (FIN)",1932-06-27,"Men","No"
74.28,"Matti Järvinen (FIN)",1933-05-25,"Men","No"
74.61,"Matti Järvinen (FIN)",1933-06-07,"Men","No"
76.1,"Matti Järvinen (FIN)",1933-06-15,"Men","No"
76.66,"Matti Järvinen (FIN)",1934-09-07,"Men","No"
77.23,"Matti Järvinen (FIN)",1936-06-18,"Men","No"
77.87,"Yrjö Nikkanen (FIN)",1938-08-25,"Men","No"
78.7,"Yrjö Nikkanen (FIN)",1938-10-16,"Men","No"
80.41,"Bud Held (USA)",1953-08-08,"Men","No"
81.75,"Bud Held (USA)",1955-05-21,"Men","No"
83.56,"Soini Nikkinen (FIN)",1956-06-24,"Men","No"
83.66,"Janusz Sidło (POL)",1956-06-30,"Men","No"
85.71,"Egil Danielsen (NOR)",1956-11-26,"Men","No"
86.04,"Albert Cantello (USA)",1959-06-05,"Men","No"
86.74,"Carlo Lievore (ITA)",1961-06-01,"Men","No"
87.12,"Terje Pedersen (NOR)",1964-07-01,"Men","No"
91.72,"Terje Pedersen (NOR)",1964-09-02,"Men","No"
91.98,"Jānis Lūsis (URS)",1968-06-23,"Men","No"
92.7,"Jorma Kinnunen (FIN)",1969-06-18,"Men","No"
93.8,"Jānis Lūsis (URS)",1972-07-06,"Men","No"
94.08,"Klaus Wolfermann (FRG)",1973-05-05,"Men","No"
94.58,"Miklós Németh (HUN)",1976-07-25,"Men","No"
96.72,"Ferenc Paragi (HUN)",1980-04-23,"Men","No"
99.72,"Tom Petranoff (USA)",1983-05-15,"Men","No"
104.8,"Uwe Hohn (GDR)",1984-07-20,"Men","No"
85.74,"Klaus Tafelmeier (FRG)",1986-09-21,"Men","No"
87.66,"Jan Železný (TCH)",1987-05-31,"Men","No"
89.1,"Patrik Bodén (SWE)",1990-03-24,"Men","No"
89.58,"Steve Backley (GBR)",1990-07-02,"Men","No"
89.66,"Jan Železný (TCH)",1990-07-14,"Men","No"
90.98,"Steve Backley (GBR)",1990-07-20,"Men","No"
91.98,"Seppo Räty (FIN)",1991-05-06,"Men","No"
96.96,"Seppo Räty (FIN)",1991-06-02,"Men","No"
91.46,"Steve Backley (GBR)",1992-01-25,"Men","No"
95.54,"Jan Železný (CZE)",1993-04-06,"Men","No"
95.66,"Jan Železný (CZE)",1993-08-29,"Men","No"
